Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalTotal
1,5.1,3.5,1.4,0.2,Iris-setosa,8.6
2,4.9,3.0,1.4,0.2,Iris-setosa,7.9
3,4.7,3.2,1.3,0.2,Iris-setosa,7.9
4,4.6,3.1,1.5,0.2,Iris-setosa,7.699999999999999
5,5.0,3.6,1.4,0.2,Iris-setosa,8.6
6,5.4,3.9,1.7,0.4,Iris-setosa,9.3
7,4.6,3.4,1.4,0.3,Iris-setosa,8.0
8,5.0,3.4,1.5,0.2,Iris-setosa,8.4
9,4.4,2.9,1.4,0.2,Iris-setosa,7.300000000000001
10,4.9,3.1,1.5,0.1,Iris-setosa,8.0
11,5.4,3.7,1.5,0.2,Iris-setosa,9.100000000000001
12,4.8,3.4,1.6,0.2,Iris-setosa,8.2
13,4.8,3.0,1.4,0.1,Iris-setosa,7.8
14,4.3,3.0,1.1,0.1,Iris-setosa,7.3
15,5.8,4.0,1.2,0.2,Iris-setosa,9.8
16,5.7,4.4,1.5,0.4,Iris-setosa,10.100000000000001
17,5.4,3.9,1.3,0.4,Iris-setosa,9.3
18,5.1,3.5,1.4,0.3,Iris-setosa,8.6
19,5.7,3.8,1.7,0.3,Iris-setosa,9.5
20,5.1,3.8,1.5,0.3,Iris-setosa,8.899999999999999
21,5.4,3.4,1.7,0.2,Iris-setosa,8.8
22,5.1,3.7,1.5,0.4,Iris-setosa,8.8
23,4.6,3.6,1.0,0.2,Iris-setosa,8.2
24,5.1,3.3,1.7,0.5,Iris-setosa,8.399999999999999
25,4.8,3.4,1.9,0.2,Iris-setosa,8.2
26,5.0,3.0,1.6,0.2,Iris-setosa,8.0
27,5.0,3.4,1.6,0.4,Iris-setosa,8.4
28,5.2,3.5,1.5,0.2,Iris-setosa,8.7
29,5.2,3.4,1.4,0.2,Iris-setosa,8.6
30,4.7,3.2,1.6,0.2,Iris-setosa,7.9
31,4.8,3.1,1.6,0.2,Iris-setosa,7.9
32,5.4,3.4,1.5,0.4,Iris-setosa,8.8
33,5.2,4.1,1.5,0.1,Iris-setosa,9.3
34,5.5,4.2,1.4,0.2,Iris-setosa,9.7
35,4.9,3.1,1.5,0.1,Iris-setosa,8.0
36,5.0,3.2,1.2,0.2,Iris-setosa,8.2
37,5.5,3.5,1.3,0.2,Iris-setosa,9.0
38,4.9,3.1,1.5,0.1,Iris-setosa,8.0
39,4.4,3.0,1.3,0.2,Iris-setosa,7.4
40,5.1,3.4,1.5,0.2,Iris-setosa,8.5
41,5.0,3.5,1.3,0.3,Iris-setosa,8.5
42,4.5,2.3,1.3,0.3,Iris-setosa,6.8
43,4.4,3.2,1.3,0.2,Iris-setosa,7.6000000000000005
44,5.0,3.5,1.6,0.6,Iris-setosa,8.5
45,5.1,3.8,1.9,0.4,Iris-setosa,8.899999999999999
46,4.8,3.0,1.4,0.3,Iris-setosa,7.8
47,5.1,3.8,1.6,0.2,Iris-setosa,8.899999999999999
48,4.6,3.2,1.4,0.2,Iris-setosa,7.8
49,5.3,3.7,1.5,0.2,Iris-setosa,9.0
50,5.0,3.3,1.4,0.2,Iris-setosa,8.3
51,7.0,3.2,4.7,1.4,Iris-versicolor,10.2
52,6.4,3.2,4.5,1.5,Iris-versicolor,9.600000000000001
53,6.9,3.1,4.9,1.5,Iris-versicolor,10.0
54,5.5,2.3,4.0,1.3,Iris-versicolor,7.8
55,6.5,2.8,4.6,1.5,Iris-versicolor,9.3
56,5.7,2.8,4.5,1.3,Iris-versicolor,8.5
57,6.3,3.3,4.7,1.6,Iris-versicolor,9.6
58,4.9,2.4,3.3,1.0,Iris-versicolor,7.300000000000001
59,6.6,2.9,4.6,1.3,Iris-versicolor,9.5
60,5.2,2.7,3.9,1.4,Iris-versicolor,7.9
61,5.0,2.0,3.5,1.0,Iris-versicolor,7.0
62,5.9,3.0,4.2,1.5,Iris-versicolor,8.9
63,6.0,2.2,4.0,1.0,Iris-versicolor,8.2
64,6.1,2.9,4.7,1.4,Iris-versicolor,9.0
65,5.6,2.9,3.6,1.3,Iris-versicolor,8.5
66,6.7,3.1,4.4,1.4,Iris-versicolor,9.8
67,5.6,3.0,4.5,1.5,Iris-versicolor,8.6
68,5.8,2.7,4.1,1.0,Iris-versicolor,8.5
69,6.2,2.2,4.5,1.5,Iris-versicolor,8.4
70,5.6,2.5,3.9,1.1,Iris-versicolor,8.1
71,5.9,3.2,4.8,1.8,Iris-versicolor,9.100000000000001
72,6.1,2.8,4.0,1.3,Iris-versicolor,8.899999999999999
73,6.3,2.5,4.9,1.5,Iris-versicolor,8.8
74,6.1,2.8,4.7,1.2,Iris-versicolor,8.899999999999999
75,6.4,2.9,4.3,1.3,Iris-versicolor,9.3
76,6.6,3.0,4.4,1.4,Iris-versicolor,9.6
77,6.8,2.8,4.8,1.4,Iris-versicolor,9.6
78,6.7,3.0,5.0,1.7,Iris-versicolor,9.7
79,6.0,2.9,4.5,1.5,Iris-versicolor,8.9
80,5.7,2.6,3.5,1.0,Iris-versicolor,8.3
81,5.5,2.4,3.8,1.1,Iris-versicolor,7.9
82,5.5,2.4,3.7,1.0,Iris-versicolor,7.9
83,5.8,2.7,3.9,1.2,Iris-versicolor,8.5
84,6.0,2.7,5.1,1.6,Iris-versicolor,8.7
85,5.4,3.0,4.5,1.5,Iris-versicolor,8.4
86,6.0,3.4,4.5,1.6,Iris-versicolor,9.4
87,6.7,3.1,4.7,1.5,Iris-versicolor,9.8
88,6.3,2.3,4.4,1.3,Iris-versicolor,8.6
89,5.6,3.0,4.1,1.3,Iris-versicolor,8.6
90,5.5,2.5,4.0,1.3,Iris-versicolor,8.0
91,5.5,2.6,4.4,1.2,Iris-versicolor,8.1
92,6.1,3.0,4.6,1.4,Iris-versicolor,9.1
93,5.8,2.6,4.0,1.2,Iris-versicolor,8.4
94,5.0,2.3,3.3,1.0,Iris-versicolor,7.3
95,5.6,2.7,4.2,1.3,Iris-versicolor,8.3
96,5.7,3.0,4.2,1.2,Iris-versicolor,8.7
97,5.7,2.9,4.2,1.3,Iris-versicolor,8.6
98,6.2,2.9,4.3,1.3,Iris-versicolor,9.1
99,5.1,2.5,3.0,1.1,Iris-versicolor,7.6
100,5.7,2.8,4.1,1.3,Iris-versicolor,8.5
101,6.3,3.3,6.0,2.5,Iris-virginica,9.6
